t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6,S_alpha=0.5,I_alpha=0.5,R_alpha=0.5,S_alpha=0.4,I_alpha=0.4,R_alpha=0.4,S_alpha=0.3,I_alpha=0.3,R_alpha=0.3,S_alpha=0.2,I_alpha=0.2,R_alpha=0.2,S_alpha=0.1,I_alpha=0.1,R_alpha=0.1
20.0,0.1419962394684863,0.04039330114640385,0.8232061769635185,0.18950321040376328,0.063123674395294,0.7609064439756961,0.2311669168717288,0.08441396163103279,0.7023381947716443,0.2686348528760924,0.10371626524439236,0.6458019938854143,0.30240573494858664,0.12103025720231407,0.5920928577168574,0.3325746040201599,0.13665622636577965,0.5423780849988794,0.35921249219717205,0.15100405738547776,0.4973751012570186,0.3824988303439257,0.16446738916077983,0.45721077441421265,0.4027177834277889,0.1773598948932566,0.4215680764560915
20.5,0.1417243923532673,0.03852907474321497,0.825330296103657,0.18916565690238277,0.061247809101625694,0.7630575781193363,0.2307231113761377,0.08267992944898023,0.7043893913958504,0.2681300507972521,0.1022098173962461,0.6476402181001357,0.301903591209713,0.11979123861997946,0.5936477600265395,0.33213012790434626,0.13569463919710575,0.5436163266491075,0.35886341493480045,0.15031226324634536,0.4982875457629259,0.3822650939343974,0.16402842958010785,0.45780253631191925,0.40260424444819226,0.1771523004276181,0.4218532762998158
21.0,0.1414946384512005,0.03678141588761763,0.8272960241040385,0.18886402499918134,0.05946288240131991,0.7650835271700622,0.23030915203948404,0.08101474387680967,0.7063456794362226,0.26764946086663216,0.10075439586610262,0.649408838257698,0.3014204371706907,0.1185893551222437,0.5951530807426207,0.33169987238839177,0.13475943758784298,0.5448202783676456,0.35852429616856996,0.14963839987092187,0.49917725226228077,0.38203756073917605,0.16360051956507238,0.45838049022891914,0.40249361105385384,0.17694990473348432,0.4221319888381031
21.5,0.1413031028390758,0.035142167174339725,0.8291153822069514,0.18859532594252446,0.057763410517023384,0.7669926831931871,0.22992284565199284,0.07941465489019142,0.7082128068281881,0.267191513162225,0.09934739505527222,0.6511117226794617,0.30095516639286285,0.11742277645495354,0.5966113823439749,0.3312830724396073,0.13384934026474862,0.5459916091058257,0.3581946272831288,0.14898159862571034,0.5000452774396593,0.38181592273239695,0.16318312161356577,0.4589452588966251,0.40238574040964603,0.1767524530007311,0.42240450322058665
22.0,0.1411462813971891,0.03360376517517225,0.8307994275113586,0.188356843929912,0.056144284935542195,0.7687927955189733,0.22956218970739783,0.07787616362302105,0.709996093769918,0.2667547670857991,0.09798638454315364,0.6527524583716992,0.30050675897509027,0.1162897972777402,0.5980250451416166,0.3308790203943559,0.1329631548851287,0.547131872024668,0.3578739367293163,0.1483410520390324,0.5008926064705365,0.3815998939968882,0.16277573649155042,0.45949742378310643,0.4022804998884498,0.17655970871850257,0.4226710896576301
22.5,0.14102100167869705,0.03215919897860805,0.8323583335187026,0.18814610787150327,0.05460074507019069,0.770491025839673,0.22922535298360294,0.07639600284677389,0.7117004703616508,0.26633789844792305,0.09666909459298392,0.6543343762205325,0.30007427310805185,0.1151888263196518,0.5993962836878267,0.330487060482803,0.1320997700616798,0.5482425148631389,0.35756178654756166,0.1477160082022884,0.5017201593302947,0.38138920867130777,0.16237789968472352,0.46003752866890046,0.4021777661258928,0.17637145196416446,0.4229320010399703
23.0,0.1409243883915122,0.03080197093385477,0.8338014638654081,0.18796086645576038,0.05312835286580228,0.7720939981119206,0.2289106583978235,0.0749711191388147,0.7133305104258989,0.26593968806536866,0.09539340307402751,0.6558605735119085,0.29965683761139217,0.11411837667269878,0.6007271614034219,0.33010658398393306,0.13125814825868917,0.549324889175641,0.3572577692869926,0.14710576579706108,0.5025287964215109,0.3811836191291272,0.16198917825206713,0.46056608284281025,0.40207742418157344,0.17618747788758843,0.42318747438885174
23.5,0.14085383288742628,0.029526059652815195,0.8351374397935105,0.187799066085008,0.051722969242035954,0.7736078437949291,0.2286165678349674,0.07359865658338628,0.7148904619474382,0.26555901166825485,0.09415732364123733,0.6573339341044514,0.29925364532149545,0.11307705708384952,0.6020196036487335,0.32973702492636764,0.13043731944795864,0.5503802585833508,0.35696150526763015,0.14650966966597792,0.5033193236062036,0.38098289435883703,0.16160916802788852,0.4610835639652432,0.4019793667927503,0.17600759536462202,0.423437732157498
24.0,0.1408069661405125,0.028325885272440093,0.8363742018746808,0.18765883131125974,0.050380732266714176,0.7750382428971233,0.22834166869246642,0.0722759418636345,0.7163842745156218,0.265194830944792,0.09295899503349354,0.6587571465375662,0.2988639472177792,0.11206356412549295,0.6032754094313615,0.3293778562633751,0.12963637542914486,0.551409806162907,0.356672640141006,0.14592710685753588,0.5040924967171003,0.38078681851935336,0.16123749112704697,0.4615904206398247,0.4018834937085673,0.1758316257975874,0.4236829834018314
24.5,0.1407816347705731,0.027196276942150696,0.8375190664669308,0.18753844745531922,0.0490980369501722,0.7763904612526681,0.22808466192201507,0.07100047061643328,0.7178156241031772,0.26484618557688255,0.0917966713687898,0.6601327203187142,0.2984870471920952,0.11107667514082066,0.6044962619165151,0.329028586461135,0.12885446473286183,0.5524146410782811,0.356390842711165,0.14535750308532167,0.5048490256114404,0.3805951896484367,0.160873793714788,0.46208707472830857,0.40178971109464284,0.17565940204396654,0.42392342483589174
