t,S_alpha=0.95,I_alpha=0.95,max_alpha=0.95,S_alpha=0.9,I_alpha=0.9,max_alpha=0.9,S_alpha=0.8,I_alpha=0.8,max_alpha=0.8,S_alpha=0.7,I_alpha=0.7,max_alpha=0.7
80.0,0.06940069071481555,0.0011314976010036453,0.11220184543019635,0.09557408384266414,0.00463332821780971,0.12589254117941673,0.12339412445409427,0.015603145763349072,0.15848931924611132,0.15867297359332042,0.03267176970254868,0.19952623149688795
80.5,0.06957826684243394,0.0011254212123465003,0.11220184543019635,0.09571256750089631,0.004612036129672983,0.12589254117941673,0.12348962795777083,0.015518832117656287,0.15848931924611132,0.158746124733368,0.03251161853669642,0.19952623149688795
81.0,0.06975434682487433,0.0011194551559007208,0.11220184543019635,0.09584901002195516,0.004591050199061332,0.12589254117941673,0.12358389519683895,0.015435582231690129,0.15848931924611132,0.1588185288898954,0.03235335746323885,0.19952623149688795
81.5,0.06992894904899362,0.0011135964570786615,0.11220184543019635,0.09598344326159507,0.004570361823841488,0.12589254117941673,0.12367694886647479,0.015353374168305954,0.15848931924611132,0.15889019737247373,0.032196951404332375,0.19952623149688795
82.0,0.07010209158146863,0.0011078422460642106,0.11220184543019635,0.09611589858633658,0.004549962694612265,0.12589254117941673,0.12376881117914702,0.015272186615183947,0.15848931924611132,0.15896114127682726,0.03204236616113085,0.19952623149688795
82.5,0.07027379217579893,0.0011021897532783184,0.11220184543019635,0.0962464068815832,0.004529844783468013,0.12589254117941673,0.12385950387538712,0.015191998862853696,0.15848931924611132,0.15903137148937507,0.031889568386333396,0.19952623149688795
83.0,0.07044406827913662,0.0010966363050741602,0.11220184543019635,0.0963749985595698,0.004510000333262546,0.12589254117941673,0.12394904823432334,0.015112790783615456,0.15848931924611132,0.15910089869167693,0.03173852555774993,0.19952623149688795
83.5,0.07061293703894875,0.0010911793196487754,0.11220184543019635,0.09650170356714663,0.004490421847347729,0.12589254117941673,0.1240374650839843,0.015034542811316883,0.15848931924611132,0.15916973336478182,0.03158920595284224,0.19952623149688795
84.0,0.0707804153095165,0.0010858163031588503,0.11220184543019635,0.09662655139340093,0.004471102079762666,0.12589254117941673,0.12412477481137583,0.014957235921946067,0.15848931924611132,0.15923788579348624,0.03144157862419764,0.19952623149688795
84.5,0.07094651965827382,0.0010805448460290666,0.11220184543019635,0.09674957107712229,0.004452034025850599,0.12589254117941673,0.12421099737233575,0.01488085161500373,0.15848931924611132,0.15930536607049706,0.03129561337589756,0.19952623149688795
85.0,0.0711112663719904,0.001075362619442217,0.11220184543019635,0.09687079121411446,0.004433210913282021,0.12589254117941673,0.1242961523011717,0.014805371895619267,0.15848931924611132,0.15937218410050571,0.03115128074074161,0.19952623149688795
85.5,0.07127467146280406,0.0010702673720009042,0.11220184543019635,0.09699023996435646,0.004414626193463703,0.12589254117941673,0.1243802587200842,0.01473077925737721,0.15848931924611132,0.159438349604173,0.031008551958293044,0.19952623149688795
86.0,0.07143675067410299,0.0010652569265513145,0.11220184543019635,0.09710794505901796,0.004396273533314428,0.12589254117941673,0.12446333534838196,0.014657056665822213,0.15848931924611132,0.15950387212202724,0.030867398953710396,0.19952623149688795
86.5,0.07159751948626514,0.0010603291771601178,0.11220184543019635,0.09722393380733134,0.004378146807389378,0.12589254117941673,0.12454540051149167,0.014584187542612374,0.15848931924611132,0.15956876101827513,0.03072779431733379,0.19952623149688795
87.0,0.07175699312225725,0.0010554820862361146,0.11220184543019635,0.09733823310332562,0.004360240090336043,0.12589254117941673,0.12462647214976684,0.01451215575029217,0.15848931924611132,0.15963302548453076,0.030589711284993718,0.19952623149688795
87.5,0.07191518655309535,0.001050713681788725,0.11220184543019635,0.09745086943242345,0.00434254764966545,0.12589254117941673,0.12470656782710032,0.014440945577657653,0.15848931924611132,0.15969667454346054,0.030453123719013993,0.19952623149688795
88.0,0.07207211450317312,0.0010460220548159504,0.11220184543019635,0.09756186887790569,0.004325063938823518,0.12589254117941673,0.12478570473934429,0.01437054172568795,0.15848931924611132,0.15975971705234754,0.03031800608987996,0.19952623149688795
88.5,0.07222779145545963,0.0010414053568148201,0.11220184543019635,0.09767125712724782,0.004307783590548017,0.12589254117941673,0.12486389972254132,0.01430092929401833,0.15848931924611132,0.1598221617065779,0.030184333458545404,0.19952623149688795
89.0,0.0723822316565698,0.0010368617974077935,0.11220184543019635,0.09777905947832968,0.004290701410497547,0.12589254117941673,0.12494116926097101,0.0142320937679314,0.15848931924611132,0.15988401704304817,0.030052081459352085,0.19952623149688795
89.5,0.07253544912171234,0.0010323896420789637,0.11220184543019635,0.09788530084552259,0.004273812371139501,0.12589254117941673,0.1250175294950155,0.01416402100584395,0.15848931924611132,0.15994529144349726,0.02992122628353821,0.19952623149688795
90.0,0.07268745763951667,0.0010279872100142594,0.11220184543019635,0.09799000576565743,0.004257111605884886,0.12589254117941673,0.12509299622884826,0.014096697227268156,0.15848931924611132,0.1600059931377638,0.029791744663311456,0.19952623149688795
90.5,0.07283827077674278,0.001023652872040229,0.11220184543019635,0.09809319840387551,0.004240594403458362,0.12589254117941673,0.1251675849379498,0.01403010900122696,0.15848931924611132,0.1600661302069706,0.02966361385646507,0.19952623149688795
91.0,0.07298790188287785,0.0010193850486562293,0.11220184543019635,0.0981949025593664,0.004224256202492538,0.12589254117941673,0.12524131077645329,0.013964243235104255,0.15848931924611132,0.16012571058663871,0.029536811631515135,0.19952623149688795
91.5,0.07313636409462017,0.001015182208155217,0.11220184543019635,0.09829514167099501,0.004208092586336132,0.12589254117941673,0.1253141885843245,0.013899087163911313,0.15848931924611132,0.16018474206972913,0.0294113162533389,0.19952623149688795
92.0,0.07328367034025592,0.001011042864828579,0.11220184543019635,0.09839393882282065,0.004192099278066158,0.12589254117941673,0.12538623289437967,0.01383462833995215,0.15848931924611132,0.16024323230961945,0.029287106469294544,0.19952623149688795
92.5,0.07342983334393062,0.0010069655772507052,0.11220184543019635,0.09849131674951138,0.00417627213569481,0.12589254117941673,0.12545745793914384,0.013770854622870981,0.15848931924611132,0.16030118882301136,0.029164161495803927,0.19952623149688795
93.0,0.07357486562981713,0.0010029489466392531,0.11220184543019635,0.09858729784165614,0.004160607147562204,0.12589254117941673,0.12552787765755452,0.013707754170065853,0.15848931924611132,0.1603586189927732,0.029042461005380143,0.19952623149688795
93.5,0.0737187795261845,0.00099899161528729,0.11220184543019635,0.09868190415097698,0.004145100427906506,0.12589254117941673,0.12559750570151265,0.013645315427453135,0.15848931924611132,0.16041553007071915,0.02892198511408319,0.19952623149688795
94.0,0.07386158716936911,0.0009950922650637092,0.11220184543019635,0.09877515739544387,0.004129748212603627,0.12589254117941673,0.12566635544228488,0.013583527120568586,0.15848931924611132,0.1604719291803257,0.028802714369387472,0.19952623149688795
94.5,0.07400330050765061,0.0009912496159785106,0.11220184543019635,0.0988670789642958,0.0041145468550688015,0.12589254117941673,0.12573443997676137,0.013522378245990953,0.15848931924611132,0.1605278233193859,0.028684629738445003,0.19952623149688795
95.0,0.07414393130503615,0.0009874624248097296,0.11220184543019635,0.09895768992296917,0.004099492822312954,0.12589254117941673,0.12580177213356936,0.013461858063075035,0.15848931924611132,0.1605832193626053,0.02856771259673003,0.19952623149688795
95.5,0.074283491144955,0.0009837294837890045,0.11220184543019635,0.09904701101793609,0.0040845826911469815,0.12589254117941673,0.12586836447904978,0.013401956085981456,0.15848931924611132,0.16063812406413971,0.02845194471705035,0.19952623149688795
96.0,0.07442199143386431,0.0009800496193428736,0.11220184543019635,0.09913506268145608,0.004069813144527577,0.12589254117941673,0.12593422932309603,0.013342662075991333,0.15848931924611132,0.1606925440600725,0.028337308258911873,0.19952623149688795
96.5,0.07455944340477133,0.0009764216908871345,0.11220184543019635,0.09922186503624182,0.004055180968038353,0.12589254117941673,0.1259993787248608,0.013283966034094019,0.15848931924611132,0.16074648587084148,0.028223785758223048,0.19952623149688795
97.0,0.0746958581206708,0.0009728445896716663,0.11220184543019635,0.09930743790004208,0.004040683046500484,0.12589254117941673,0.12606382449833173,0.013225858193837323,0.15848931924611132,0.16079995590360602,0.028111360117326893,0.19952623149688795
97.5,0.074831246477903,0.0009693172376733123,0.11220184543019635,0.09939180079014409,0.0040263163607072916,0.12589254117941673,0.12612757821778098,0.013168329014429365,0.15848931924611132,0.16085296045456413,0.028000014595348326,0.19952623149688795
98.0,0.07496561920943269,0.000965838586534519,0.11220184543019635,0.09947497292779614,0.0040120779842775425,0.12589254117941673,0.12619065122309003,0.013111369174082302,0.15848931924611132,0.16090550571121573,0.02788973279884532,0.19952623149688795
98.5,0.07509898688805057,0.0009624076165455649,0.11220184543019635,0.09955697324255448,0.00399796508062234,0.12589254117941673,0.12625305462495234,0.013054969563588145,0.15848931924611132,0.1609575977545772,0.027780498672753014,0.19952623149688795
99.0,0.07523135992950108,0.000959023335668318,0.11220184543019635,0.09963782037655435,0.003983974900020963,0.12589254117941673,0.12631479930995726,0.012999121280117647,0.15848931924611132,0.16100924256134258,0.02767229649160997,0.19952623149688795
