t,S_h=5.0,I_h=5.0,R_h=5.0,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625,S_h=0.3125,I_h=0.3125,R_h=0.3125,S_h=0.15625,I_h=0.15625,R_h=0.15625,S_h=0.078125,I_h=0.078125,R_h=0.078125,S_h=0.0390625,I_h=0.0390625,R_h=0.0390625
6.09375,,,,,,,,,,,,,,,,0.2983125387349141,0.20610321589242606,0.513633954775495,0.2982346122830186,0.20452072243785624,0.5120031610421624,0.2982001201831046,0.20343761106697428,0.5103897597458306
6.1328125,,,,,,,,,,,,,,,,,,,,,,0.29777975684102814,0.20291469411380358,0.5113102601104861
6.171875,,,,,,,,,,,,,,,,,,,0.2973883594275922,0.20346935250489728,0.5138457242565764,0.2973629254414865,0.2023938813612175,0.5122253101043946
6.2109375,,,,,,,,,,,,,,,,,,,,,,0.2969495844253676,0.2018751647272111,0.5131349567052477
6.25,,,,,,,0.2977631743176561,0.21592464731571004,0.5168900429759984,0.29698954798912286,0.21012482815371974,0.519017386684437,0.296717983911618,0.20638193382799264,0.518678111912382,0.2966050323074124,0.20399175298378897,0.5173222879832038,0.29655628523423805,0.20242641135588108,0.5156665589022807,0.29653969289036575,0.20135853610203003,0.5140392463161227
6.2890625,,,,,,,,,,,,,,,,,,,,,,0.29613321057756514,0.200843987350267,0.5149382247753614
6.328125,,,,,,,,,,,,,,,,,,,0.2957380588129058,0.20139183460838683,0.5174660357410192,0.2957300978583615,0.2003315103128934,0.5158319373662271
6.3671875,,,,,,,,,,,,,,,,,,,,,,0.2953303157217216,0.1998210968092266,0.5167204288263232
6.40625,,,,,,,,,,,,,,,,0.2949542043446268,0.20191370582233295,0.5209245220540084,0.29493335958474726,0.2003655574513823,0.5192445166206308,0.29493382576176225,0.19931273863883786,0.5176037433568007
6.4453125,,,,,,,,,,,,,,,,,,,,,,0.29454059016564604,0.19880642758339986,0.518481924631355
6.484375,,,,,,,,,,,,,,,,,,,0.2941418768694326,0.1993475147097502,0.5210023547739282,0.2941505717017744,0.19830215540847676,0.5193550158050115
6.5234375,,,,,,,,,,,,,,,,,,,,,,0.29376373370828013,0.197799913865258,0.5202230595227187
