t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6
38.5,0.14401214312963048,0.011532964379378688,0.8497301711235642,0.18824893073820553,0.02803357065440611,0.7956658214554269,0.2250181769894706,0.04780017101354423,0.7419961117432776,0.2589867974847872,0.06915524808733062,0.6859101854316745
39.0,0.14417746843758683,0.011277718120057564,0.8498137665313403,0.18834052792169648,0.0276020385913781,0.7959760229684165,0.22499000587263918,0.047262525258119775,0.7425059646322766,0.25886372889903714,0.06858771475923493,0.6865295909950602
39.5,0.14434312625526316,0.011033023778314574,0.849886559560136,0.18843371877100185,0.02718364167199853,0.7962719337430706,0.2249647761358122,0.04673791176838213,0.7430007482848704,0.25874432602309494,0.06803158496880816,0.6871351738333897
40.0,0.1445089784818804,0.010798313013449272,0.8499492546542583,0.18852835037138238,0.026777829138412187,0.796554245774388,0.2249423340569819,0.04622587158280744,0.7434810498526091,0.25862844699539306,0.06748650549177584,0.6877273920874476
40.5,0.14467489881633036,0.010573052986385108,0.8500025090272234,0.1886242803175495,0.026384078464424615,0.7968236127631542,0.22492253459829742,0.04572596639374855,0.7439474281702642,0.2585159568559139,0.06695213769070801,0.6883066839416916
41.0,0.1448407718234702,0.010356743913489487,0.8500469360384113,0.18872137597015412,0.026001893683237676,0.7970806525095584,0.22490524084959648,0.045237777431951044,0.7444004153752108,0.258406727140684,0.06642815676748069,0.6888734686960827
41.5,0.14500649207654168,0.010148916801379734,0.8500831083127871,0.18881951376923506,0.025630803825978744,0.7973259491404016,0.224890323512317,0.04476090442073834,0.7448405184200546,0.25830063550418897,0.0659142510612809,0.6894281477696674
42.0,0.14517196336914365,0.009949131348600803,0.850111560624373,0.18891857859985348,0.025270361462994106,0.7975600551825998,0.22487766042049834,0.044294964594957596,0.7452682204864558,0.2581975653675023,0.06541012138894996,0.6899711056409437
42.5,0.1453370979907883,0.009756974001200812,0.8501327925623875,0.18901846320557955,0.024920141340502563,0.797783493494635,0.22486713609588765,0.043839591780161176,0.7456839823074555,0.25809740559012656,0.06491548042471529,0.6905027107295798
43.0,0.14550181606062668,0.00957205615027739,0.8501472709974007,0.1891190676458877,0.024579739105778802,0.7979967590666437,0.22485864133442363,0.04339443552784869,0.7460882434049784,0.2580000501637112,0.0644300521165922,0.6910233162237414
43.5,0.1456660449144158,0.00939401246052884,0.8501554323633763,0.18922029879387503,0.024248770114562786,0.7982003206989676,0.22485207282162012,0.04295916030291553,0.7464814232486757,0.25790539792598266,0.06395357113695205,0.6915332608568643
44.0,0.1458297185402489,0.009222499319726062,0.8501576847701607,0.1893220698710353,0.02392686831487502,0.798394622568167,0.2248473327745846,0.042533444719747175,0.7468639223417517,0.2578133522933535,0.0634857823649436,0.6920328696374691
44.5,0.1459927770589736,0.009057193399830958,0.850154409959762,0.18942430001611107,0.02361368520186259,0.7985800856888056,0.22484432860860648,0.04211698082366906,0.7472361232389799,0.2577238210108151,0.06302644039863428,0.6925224545352723
45.0,0.14615516624558053,0.008897790321229513,0.8501459651186528,0.18952691388530787,0.02330888883870791,0.7987571092786229,0.22484297262642464,0.04170947341470689,0.7475983915016923,0.2576367159178377,0.062575309094898,0.6930023151266296
45.5,0.1463168370881776,0.008744003412229966,0.8501326845573335,0.18962984128138707,0.02301216293900872,0.7989260720341139,0.2248431817284489,0.041310639410841475,0.7479510765941494,0.25755195272909637,0.06213216113522597,0.693472739202081
46.0,0.14647774538146321,0.008595562556601846,0.850114881267455,0.18973301680937424,0.02272320600638225,0.7990873333229854,0.22484487714235163,0.040920207248148086,0.7482945127253694,0.2574694508289562,0.061696777615771,0.6939340033385795
46.5,0.14663785135187657,0.008452213122505946,0.8500928483659659,0.18983637955680743,0.022441730527364347,0.7992412342994333,0.2248479841705825,0.04053791631540356,0.7486290196401577,0.25738913307872224,0.0612689476600624,0.6943863734387646
47.0,0.14679711931185088,0.008313714966692596,0.8500668604349817,0.18993987279662822,0.022167462213966052,0.7993880989477518,0.22485243195447513,0.040163516420919185,0.7489549033628068,0.25731092563574715,0.060848468052940884,0.694830105239472
47.5,0.14695551734081924,0.008179841508328973,0.8500371747653519,0.19004344371098042,0.02190013929251993,0.7995282350593207,0.22485815325372846,0.03979676728952058,0.7492724568966701,0.2572347577835609,0.06043514289436956,0.695265444791512
48.0,0.14711301699081583,0.008050378867261032,0.8500040325112781,0.1901470431343192,0.021639511835695294,0.7996619351476613,0.22486508424014043,0.039437438087743464,0.7495819608825673,0.2571605617722562,0.06002878327187222,0.6956926289125834
48.5,0.14726959301470743,0.007925125061922902,0.8499676597627269,0.19025062531437403,0.0213853411347903,0.7997894773058724,0.22487316430456483,0.03908530697545281,0.7498836842187638,0.2570882726684144,0.05962920695044005,0.6961118856150654
49.0,0.14742522311525072,0.007803889262481602,0.8499282685418525,0.1903541476896233,0.021137399109618933,0.7999111260104462,0.22488233587614476,0.03874016068221965,0.750177884645056,0.2570178282139248,0.059236238078828794,0.6965234345102922
49.5,0.14757988771332545,0.007686491095148898,0.8498860577291438,0.19045757068204752,0.020895467753505145,0.80002713287514,0.22489254425294997,0.03840179410690537,0.7504648092933195,0.25694916869309065,0.058849706911244234,0.6969274871908036
50.0,0.1477335697338281,0.007572759993908271,0.849841213924555,0.19056085750403098,0.02065933861107528,0.8001377373583342,0.22490373744321368,0.038070009939012994,0.7507446952066891,0.25688223680746475,0.05846944954348329,0.6973242475919625
